City/Town,Ward,Pct,"Christopher T. Saunders","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Acushnet,-,1,"1,276",8,507,"1,791"
Acushnet,-,2,"1,508",12,645,"2,165"
Acushnet,-,3,"1,521",11,638,"2,170"
Attleboro,1,A,"1,299",38,524,"1,861"
Attleboro,1,B,"1,349",40,536,"1,925"
Attleboro,2,A,"1,386",41,610,"2,037"
Attleboro,2,B,"1,559",23,713,"2,295"
Attleboro,3,A,"1,480",30,579,"2,089"
Attleboro,3,B,"1,424",35,597,"2,056"
Attleboro,4,A,"1,187",20,421,"1,628"
Attleboro,4,B,"1,786",45,789,"2,620"
Attleboro,5,A,935,27,280,"1,242"
Attleboro,5,B,"1,398",29,524,"1,951"
Attleboro,6,A,"1,297",28,575,"1,900"
Attleboro,6,B,"1,455",32,600,"2,087"
Berkley,-,1,"1,373",36,812,"2,221"
Berkley,-,2,"1,181",36,705,"1,922"
Dartmouth,-,1,"1,518",24,891,"2,433"
Dartmouth,-,2,"1,031",18,440,"1,489"
Dartmouth,-,3,42,0,5,47
Dartmouth,-,4,"1,488",15,674,"2,177"
Dartmouth,-,5,"1,615",17,735,"2,367"
Dartmouth,-,6,"1,306",13,515,"1,834"
Dartmouth,-,7,"1,523",17,727,"2,267"
Dartmouth,-,8,"1,835",12,785,"2,632"
Dartmouth,-,9,"1,820",16,897,"2,733"
Dighton,-,1,"1,334",25,854,"2,213"
Dighton,-,2,"1,516",44,970,"2,530"
Easton,-,1,911,6,464,"1,381"
Easton,-,2,"1,740",18,979,"2,737"
Easton,-,3,"1,619",16,761,"2,396"
Easton,-,4,"1,646",14,931,"2,591"
Easton,-,5,"1,913",10,"1,008","2,931"
Easton,-,6,"1,664",15,890,"2,569"
Fairhaven,-,1,"1,152",16,482,"1,650"
Fairhaven,-,2,"1,182",19,447,"1,648"
Fairhaven,-,3,960,18,337,"1,315"
Fairhaven,-,4,"1,151",22,464,"1,637"
Fairhaven,-,5,"1,084",24,644,"1,752"
Fairhaven,-,6,"1,100",23,504,"1,627"
"Fall River",1,A,"1,085",6,508,"1,599"
"Fall River",1,B,785,0,361,"1,146"
"Fall River",1,C,871,4,414,"1,289"
"Fall River",2,A,687,6,239,932
"Fall River",2,B,603,2,258,863
"Fall River",2,C,703,3,303,"1,009"
"Fall River",3,A,848,1,370,"1,219"
"Fall River",3,B,841,0,365,"1,206"
"Fall River",3,C,959,7,403,"1,369"
"Fall River",4,A,644,0,262,906
"Fall River",4,B,648,8,207,863
"Fall River",4,C,649,0,261,910
"Fall River",5,A,522,1,181,704
"Fall River",5,B,404,2,161,567
"Fall River",5,B1,94,0,31,125
"Fall River",5,C,606,5,231,842
"Fall River",6,A,913,5,498,"1,416"
"Fall River",6,B,674,12,258,944
"Fall River",6,C,816,3,366,"1,185"
"Fall River",6,C1,23,0,8,31
"Fall River",7,A,842,8,395,"1,245"
"Fall River",7,B,695,4,298,997
"Fall River",7,C,884,2,344,"1,230"
"Fall River",8,A,775,0,335,"1,110"
"Fall River",8,B,"1,009",6,580,"1,595"
"Fall River",8,C,"1,155",6,617,"1,778"
"Fall River",9,A,"1,295",6,807,"2,108"
"Fall River",9,B,885,3,476,"1,364"
"Fall River",9,C,"1,181",0,467,"1,648"
Freetown,-,1,"1,189",48,597,"1,834"
Freetown,-,2,"1,195",41,620,"1,856"
Freetown,-,3,"1,214",33,596,"1,843"
Mansfield,-,1,"1,621",31,850,"2,502"
Mansfield,-,2,"1,728",21,805,"2,554"
Mansfield,-,3,"1,688",33,873,"2,594"
Mansfield,-,4,"1,648",24,760,"2,432"
Mansfield,-,5,"1,625",17,607,"2,249"
Mansfield,-,6,"1,656",29,621,"2,306"
"New Bedford",1,A,"1,119",31,366,"1,516"
"New Bedford",1,B,934,18,348,"1,300"
"New Bedford",1,C,838,24,352,"1,214"
"New Bedford",1,D,968,24,403,"1,395"
"New Bedford",1,E,921,12,312,"1,245"
"New Bedford",1,F,705,17,315,"1,037"
"New Bedford",2,A,260,4,80,344
"New Bedford",2,B,617,8,190,815
"New Bedford",2,C,524,11,150,685
"New Bedford",2,D,545,16,242,803
"New Bedford",2,E,799,12,259,"1,070"
"New Bedford",2,F,770,23,249,"1,042"
"New Bedford",3,A,462,14,122,598
"New Bedford",3,B,528,11,140,679
"New Bedford",3,C,497,9,152,658
"New Bedford",3,D,626,13,212,851
"New Bedford",3,E,968,18,305,"1,291"
"New Bedford",3,F,934,13,267,"1,214"
"New Bedford",4,A,520,11,122,653
"New Bedford",4,B,958,26,197,"1,181"
"New Bedford",4,C,879,12,212,"1,103"
"New Bedford",4,D,701,12,207,920
"New Bedford",4,E,736,15,190,941
"New Bedford",4,F,754,20,157,931
"New Bedford",5,A,590,14,156,760
"New Bedford",5,B,839,22,242,"1,103"
"New Bedford",5,C,672,21,253,946
"New Bedford",5,D,980,10,287,"1,277"
"New Bedford",5,E,"1,099",19,393,"1,511"
"New Bedford",5,F,"1,058",27,360,"1,445"
"New Bedford",6,A,832,20,289,"1,141"
"New Bedford",6,B,794,11,254,"1,059"
"New Bedford",6,C,331,15,109,455
"New Bedford",6,D,340,12,113,465
"New Bedford",6,E,485,9,150,644
"New Bedford",6,F,595,7,191,793
"N. Attleborough",-,1,"1,138",8,454,"1,600"
"N. Attleborough",-,2,"1,362",3,601,"1,966"
"N. Attleborough",-,3,"1,281",18,723,"2,022"
"N. Attleborough",-,4,"1,131",11,474,"1,616"
"N. Attleborough",-,5,"1,238",29,552,"1,819"
"N. Attleborough",-,6,"1,432",7,676,"2,115"
"N. Attleborough",-,7,"1,429",25,692,"2,146"
"N. Attleborough",-,8,"1,327",16,694,"2,037"
"N. Attleborough",-,9,"1,317",6,656,"1,979"
Norton,-,1,"1,544",33,878,"2,455"
Norton,-,2,"1,541",33,808,"2,382"
Norton,-,3,"1,510",31,696,"2,237"
Norton,-,4,"1,606",32,927,"2,565"
Norton,-,5,840,23,525,"1,388"
Raynham,-,1,"1,325",0,761,"2,086"
Raynham,-,1A,156,0,85,241
Raynham,-,2,"1,035",0,707,"1,742"
Raynham,-,2A,197,0,164,361
Raynham,-,3,"1,503",0,908,"2,411"
Raynham,-,4,"1,270",0,748,"2,018"
Rehoboth,-,1,"1,507",11,"1,034","2,552"
Rehoboth,-,2,"1,551",11,"1,011","2,573"
Rehoboth,-,3,"1,739",13,"1,067","2,819"
Seekonk,-,1,"1,408",44,665,"2,117"
Seekonk,-,2,"1,649",43,699,"2,391"
Seekonk,-,3,"1,575",43,656,"2,274"
Seekonk,-,4,"1,498",39,684,"2,221"
Somerset,-,1,"1,614",4,748,"2,366"
Somerset,-,2,"1,610",5,714,"2,329"
Somerset,-,3,"1,645",3,706,"2,354"
Somerset,-,4,"1,419",5,642,"2,066"
Somerset,-,5,"1,427",0,670,"2,097"
Swansea,-,1,"1,372",50,714,"2,136"
Swansea,-,2,"1,306",34,615,"1,955"
Swansea,-,3,"1,312",25,569,"1,906"
Swansea,-,4,"1,378",39,624,"2,041"
Swansea,-,5,"1,263",39,730,"2,032"
Taunton,1,A,954,12,476,"1,442"
Taunton,1,B,"1,130",34,791,"1,955"
Taunton,2,A,788,12,322,"1,122"
Taunton,2,B,861,19,427,"1,307"
Taunton,3,A,947,12,594,"1,553"
