City/Town,Ward,Pct,"Barry J. Amaral","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Attleboro,1,A,"1,345",18,580,"1,943"
Attleboro,1,B,"1,310",10,518,"1,838"
Attleboro,2,A,"1,478",25,658,"2,161"
Attleboro,2,B,"1,416",11,545,"1,972"
Attleboro,3,A,"1,352",13,526,"1,891"
Attleboro,3,B,"1,436",15,610,"2,061"
Attleboro,4,A,"1,243",11,472,"1,726"
Attleboro,4,B,"1,716",26,741,"2,483"
Attleboro,5,A,"1,039",8,316,"1,363"
Attleboro,5,B,"1,486",13,479,"1,978"
Attleboro,6,A,"1,367",13,569,"1,949"
Attleboro,6,B,"1,548",12,552,"2,112"
Berkley,-,1,"1,471",31,765,"2,267"
Berkley,-,2,"1,306",33,657,"1,996"
Dighton,-,1,"1,062",0,590,"1,652"
Dighton,-,2,"1,044",0,603,"1,647"
Dighton,-,3,"1,044",0,532,"1,576"
Easton,-,1,"1,576",14,786,"2,376"
Easton,-,2,"1,506",15,748,"2,269"
Easton,-,3,617,5,321,943
Easton,-,4A,675,2,402,"1,079"
Easton,-,4B,807,12,417,"1,236"
Easton,-,5,"1,412",12,634,"2,058"
Easton,-,6,"1,445",9,772,"2,226"
Easton,-,7,"1,493",14,642,"2,149"
Mansfield,-,1,"1,442",31,692,"2,165"
Mansfield,-,2,"1,067",15,456,"1,538"
Mansfield,-,2A,420,2,182,604
Mansfield,-,3,"1,568",35,734,"2,337"
Mansfield,-,4,"1,378",45,641,"2,064"
Mansfield,-,5,"1,232",33,484,"1,749"
Mansfield,-,6,"1,110",25,418,"1,553"
Mansfield,-,6A,159,0,76,235
Mansfield,-,7,"1,274",24,558,"1,856"
"N. Attleborough",-,1,"1,104",9,384,"1,497"
"N. Attleborough",-,2,"1,374",17,558,"1,949"
"N. Attleborough",-,3,"1,298",33,713,"2,044"
"N. Attleborough",-,4,"1,244",26,431,"1,701"
"N. Attleborough",-,5,"1,251",20,523,"1,794"
"N. Attleborough",-,6,"1,365",21,643,"2,029"
"N. Attleborough",-,7,"1,532",16,689,"2,237"
"N. Attleborough",-,8,"1,323",20,618,"1,961"
"N. Attleborough",-,9,"1,258",20,586,"1,864"
Norton,-,1,"1,436",27,811,"2,274"
Norton,-,2,"1,520",35,777,"2,332"
Norton,-,3,"1,595",47,722,"2,364"
Norton,-,4,"1,471",45,820,"2,336"
Norton,-,5,909,17,491,"1,417"
Raynham,-,1,"1,557",0,694,"2,251"
Raynham,-,2,912,0,412,"1,324"
Raynham,-,2A,559,0,327,886
Raynham,-,3,"1,568",0,871,"2,439"
Raynham,-,4,"1,422",0,676,"2,098"
Raynham,-,4A,30,0,31,61
Rehoboth,-,1,"1,301",10,756,"2,067"
Rehoboth,-,2,"1,256",12,732,"2,000"
Rehoboth,-,3,"1,198",5,747,"1,950"
Rehoboth,-,4,"1,356",16,790,"2,162"
Seekonk,-,1,"1,498",59,683,"2,240"
Seekonk,-,2,"1,778",733,58,"2,569"
Seekonk,-,3,"1,474",54,638,"2,166"
Seekonk,-,4,"1,482",65,649,"2,196"
Taunton,1,A,"1,165",13,347,"1,525"
Taunton,1,A1,65,0,17,82
Taunton,1,B,"1,390",9,628,"2,027"
Taunton,2,A,766,6,222,994
Taunton,2,B,"1,011",17,333,"1,361"
Taunton,3,A,"1,100",14,372,"1,486"
Taunton,3,B,"1,412",22,528,"1,962"
Taunton,4,A,"1,293",15,566,"1,874"
Taunton,4,B,"1,318",16,501,"1,835"
Taunton,4,B1,21,2,14,37
Taunton,5,A,"1,018",5,336,"1,359"
Taunton,5,B,"1,004",9,317,"1,330"
Taunton,6,A,962,18,317,"1,297"
Taunton,6,B,"1,187",28,423,"1,638"
Taunton,7,A,"1,363",16,526,"1,905"
Taunton,7,B,"1,504",21,722,"2,247"
Taunton,8,A,"1,572",21,615,"2,208"
Taunton,8,B,"1,491",19,620,"2,130"
TOTALS,,,"97,557","2,090","42,910","142,557"
