City/Town,Ward,Pct,"M. Paul Iannuccillo","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Andover,-,1,"1,134",6,310,"1,450"
Andover,-,2,"1,511",18,575,"2,104"
Andover,-,3,"1,711",13,596,"2,320"
Andover,-,4,881,11,368,"1,260"
Andover,-,4A,512,3,185,700
Andover,-,5,"1,518",18,617,"2,153"
Andover,-,6,"1,465",10,556,"2,031"
Andover,-,7,"1,565",4,620,"2,189"
Andover,-,8,"1,654",14,627,"2,295"
Andover,-,9,"1,391",14,570,"1,975"
Andover,-,10,"1,592",11,599,"2,202"
Lawrence,A,1,727,34,195,956
Lawrence,A,2,408,12,152,572
Lawrence,A,2A,104,3,32,139
Lawrence,A,3,576,33,146,755
Lawrence,A,4,805,27,177,"1,009"
Lawrence,B,1,651,24,217,892
Lawrence,B,2,455,26,142,623
Lawrence,B,3,564,27,170,761
Lawrence,B,4,562,15,242,819
Lawrence,C,1,521,15,204,740
Lawrence,C,2,667,31,226,924
Lawrence,C,3,434,9,167,610
Lawrence,C,4,432,17,230,679
Lawrence,D,1,772,27,214,"1,013"
Lawrence,D,2,559,16,241,816
Lawrence,D,3,340,15,148,503
Lawrence,D,4,608,22,190,820
Lawrence,E,1,977,31,319,"1,327"
Lawrence,E,1A,29,1,14,44
Lawrence,E,2,977,36,292,"1,305"
Lawrence,E,3,666,31,215,912
Lawrence,E,4,631,26,217,874
Lawrence,F,1,996,31,291,"1,318"
Lawrence,F,2,561,13,156,730
Lawrence,F,3,782,36,220,"1,038"
Lawrence,F,4,771,23,248,"1,042"
Methuen,-,1,755,48,258,"1,061"
Methuen,-,2,808,29,239,"1,076"
Methuen,-,3,"1,193",46,416,"1,655"
Methuen,-,4,"1,040",27,368,"1,435"
Methuen,-,5,"1,149",58,471,"1,678"
Methuen,-,6,"1,000",28,395,"1,423"
Methuen,-,6A,133,2,34,169
Methuen,-,7,"1,397",51,485,"1,933"
Methuen,-,8,"1,277",40,558,"1,875"
Methuen,-,9,"1,239",55,635,"1,929"
Methuen,-,10,"1,235",61,513,"1,809"
Methuen,-,11,"1,397",45,740,"2,182"
Methuen,-,12,"1,251",33,559,"1,843"
Methuen,-,13,761,29,293,"1,083"
Methuen,-,13A,470,21,133,624
Methuen,-,14,"1,213",47,415,"1,675"
Methuen,-,15,954,31,268,"1,253"
"N. Andover",-,1,"1,565",15,496,"2,076"
"N. Andover",-,2,"1,609",14,539,"2,162"
"N. Andover",-,3,"1,465",7,538,"2,010"
"N. Andover",-,4,"1,846",11,727,"2,584"
"N. Andover",-,5,878,4,292,"1,174"
"N. Andover",-,6,"1,736",8,712,"2,456"
"N. Andover",-,7,"1,709",12,595,"2,316"
"N. Andover",-,8,"1,671",20,672,"2,363"
TOTALS,,,"60,260","1,445","22,039","83,744"
