City/Town,Ward,Pct,"Maria T. Ziemba","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Adams,-,1,626,3,136,765
Adams,-,2,805,6,113,924
Adams,-,3,775,1,139,915
Adams,-,4,660,1,141,802
Adams,-,5,813,4,172,989
Cheshire,-,1,"1,483",12,459,"1,954"
Clarksburg,-,1,786,1,193,980
Florida,-,1,327,0,89,416
Hancock,-,1,351,0,144,495
Lanesborough,-,1,"1,386",0,476,"1,862"
"New Ashford",-,1,133,0,31,164
"N. Adams",1,1,"1,040",1,248,"1,289"
"N. Adams",2,2,963,1,186,"1,150"
"N. Adams",3,3,658,3,158,819
"N. Adams",4,4,"1,049",0,261,"1,310"
"N. Adams",5,5,915,2,242,"1,159"
Savoy,-,1,342,0,95,437
Williamstown,-,1,"1,238",4,270,"1,512"
Williamstown,-,2,334,0,105,439
Williamstown,-,3,"1,368",1,322,"1,691"
Windsor,-,1,409,0,152,561
TOTALS,,,"16,461",40,"4,132","20,633"
