City/Town,Ward,Pct,"Stephen J. Murphy","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,1,1,827,20,252,"1,099"
Boston,1,2,678,11,171,860
Boston,1,3,"1,724",41,447,"2,212"
Boston,1,4,683,12,183,878
Boston,1,5,722,16,222,960
Boston,1,6,569,21,207,797
Boston,1,7,650,29,196,875
Boston,1,8,821,22,245,"1,088"
Boston,1,9,622,24,158,804
Boston,1,10,354,15,109,478
Boston,1,11,800,30,251,"1,081"
Boston,1,12,702,32,276,"1,010"
Boston,1,13,967,35,339,"1,341"
Boston,1,14,441,18,223,682
Boston,1,15,0,0,0,0
Boston,2,1,"1,129",28,387,"1,544"
Boston,2,2,971,16,397,"1,384"
Boston,2,3,"1,091",22,444,"1,557"
Boston,2,4,"1,072",18,296,"1,386"
Boston,2,5,"1,128",21,326,"1,475"
Boston,2,6,954,16,304,"1,274"
Boston,2,7,694,12,175,881
Boston,2,8,564,18,245,827
Boston,3,1,975,29,346,"1,350"
Boston,3,2,"1,020",24,357,"1,401"
Boston,3,3,694,16,159,869
Boston,3,4,744,19,214,977
Boston,3,5,986,16,288,"1,290"
Boston,3,6,696,3,205,904
Boston,3,7,881,6,268,"1,155"
Boston,3,8,825,15,286,"1,126"
Boston,3,9,650,5,195,850
Boston,3,10,"1,187",15,267,"1,469"
Boston,3,11,842,8,266,"1,116"
Boston,3,12,904,16,360,"1,280"
Boston,3,13,645,6,269,920
Boston,3,13A,0,0,0,0
Boston,3,14,619,7,412,"1,038"
Boston,3,15,900,16,204,"1,120"
Boston,3,16,"1,132",18,304,"1,454"
Boston,3,17,702,11,205,918
Boston,4,1,856,12,252,"1,120"
Boston,4,2,709,26,255,990
Boston,4,3,"1,000",16,314,"1,330"
Boston,4,4,"1,076",13,324,"1,413"
Boston,4,5,843,18,295,"1,156"
Boston,4,6,639,5,293,937
Boston,4,7,593,11,184,788
Boston,4,8,615,15,195,825
Boston,4,9,207,5,52,264
Boston,4,10,217,7,54,278
Boston,4,11,49,0,9,58
Boston,4,12,196,3,66,265
Boston,5,1,433,14,278,725
Boston,5,2,721,6,175,902
Boston,5,3,"1,140",14,370,"1,524"
Boston,5,4,709,8,128,845
Boston,5,5,741,20,276,"1,037"
Boston,5,6,862,14,342,"1,218"
Boston,5,7,"1,155",14,383,"1,552"
Boston,5,8,"1,013",12,310,"1,335"
Boston,5,9,929,26,347,"1,302"
Boston,5,10,530,12,148,690
Boston,5,11,481,2,118,601
Boston,5,12,572,7,115,694
Boston,5,13,793,11,310,"1,114"
Boston,5,14,722,16,234,972
Boston,5,15,625,14,182,821
Boston,6,1,"1,199",20,278,"1,497"
Boston,6,2,753,24,208,985
Boston,6,3,914,12,270,"1,196"
Boston,6,4,755,10,185,950
Boston,6,5,958,6,268,"1,232"
Boston,6,6,"1,008",16,282,"1,306"
Boston,6,7,909,28,283,"1,220"
Boston,6,8,"1,078",15,333,"1,426"
Boston,6,9,964,25,370,"1,359"
Boston,6,10,803,17,241,"1,061"
Boston,6,11,884,15,281,"1,180"
Boston,6,12,"1,537",39,523,"2,099"
Boston,6,12A,0,0,0,0
Boston,7,1,825,12,246,"1,083"
Boston,7,2,934,17,309,"1,260"
Boston,7,3,"1,063",25,311,"1,399"
Boston,7,4,773,13,240,"1,026"
Boston,7,5,937,15,233,"1,185"
Boston,7,6,712,20,229,961
Boston,7,7,452,16,121,589
Boston,7,8,759,23,188,970
Boston,7,9,570,11,172,753
Boston,7,10,592,8,120,720
Boston,8,1,"1,039",14,338,"1,391"
Boston,8,2,735,9,181,925
Boston,8,3,664,17,184,865
Boston,8,4,491,16,131,638
Boston,8,5,761,10,191,962
Boston,8,6,150,9,47,206
Boston,8,6A,0,0,0,0
Boston,9,1,878,15,333,"1,226"
Boston,9,2,907,7,208,"1,122"
Boston,9,3,680,16,230,926
Boston,9,4,623,15,232,870
Boston,9,5,660,18,207,885
Boston,9,6,837,14,226,"1,077"
Boston,9,7,263,9,82,354
Boston,10,1,402,5,134,541
Boston,10,2,375,9,138,522
Boston,10,3,352,9,74,435
Boston,10,4,659,14,295,968
Boston,10,5,441,17,131,589
Boston,10,6,520,11,184,715
Boston,10,7,653,17,228,898
Boston,10,8,945,15,240,"1,200"
Boston,10,9,"1,094",7,308,"1,409"
Boston,10,9A,0,0,0,0
Boston,11,1,466,6,118,590
Boston,11,2,742,11,187,940
Boston,11,3,530,11,155,696
Boston,11,4,938,18,255,"1,211"
Boston,11,5,758,13,247,"1,018"
Boston,11,6,723,9,182,914
Boston,11,7,872,9,285,"1,166"
Boston,11,8,"1,326",15,330,"1,671"
Boston,11,9,602,7,230,839
Boston,11,10,732,9,213,954
Boston,12,1,705,16,196,917
Boston,12,2,887,22,217,"1,126"
Boston,12,3,411,7,107,525
Boston,12,4,523,9,130,662
Boston,12,5,286,1,93,380
Boston,12,6,423,7,99,529
Boston,12,7,959,25,267,"1,251"
Boston,12,8,340,7,87,434
Boston,12,9,455,13,101,569
Boston,13,1,604,10,151,765
Boston,13,2,245,10,59,314
Boston,13,3,645,15,173,833
Boston,13,4,471,9,121,601
Boston,13,5,425,10,125,560
Boston,13,6,612,11,163,786
Boston,13,7,674,22,239,935
Boston,13,8,582,15,193,790
Boston,13,9,683,6,201,890
Boston,13,10,957,16,353,"1,326"
Boston,14,1,935,21,233,"1,189"
Boston,14,2,"1,026",24,235,"1,285"
Boston,14,3,259,5,65,329
Boston,14,4,585,14,134,733
Boston,14,5,437,11,96,544
Boston,14,6,470,7,117,594
Boston,14,7,451,9,102,562
Boston,14,8,541,8,143,692
Boston,14,9,487,18,127,632
Boston,14,10,545,10,153,708
Boston,14,11,535,9,124,668
Boston,14,12,314,4,70,388
Boston,14,13,507,10,80,597
Boston,14,14,540,13,108,661
Boston,15,1,653,15,173,841
Boston,15,2,399,7,117,523
Boston,15,3,278,5,95,378
Boston,15,4,807,29,168,"1,004"
Boston,15,5,486,13,138,637
Boston,15,6,370,19,181,570
Boston,15,7,423,9,118,550
Boston,15,8,352,14,162,528
Boston,15,9,393,5,176,574
Boston,16,1,473,11,180,664
Boston,16,2,510,15,170,695
Boston,16,3,597,4,223,824
Boston,16,4,618,17,197,832
Boston,16,5,737,26,236,999
Boston,16,6,822,27,363,"1,212"
Boston,16,7,695,12,269,976
Boston,16,8,"1,057",25,406,"1,488"
Boston,16,9,866,17,349,"1,232"
Boston,16,10,705,14,266,985
Boston,16,11,495,6,147,648
Boston,16,12,764,12,268,"1,044"
Boston,17,1,508,15,123,646
Boston,17,2,381,16,101,498
Boston,17,3,823,18,241,"1,082"
Boston,17,4,"1,054",18,273,"1,345"
Boston,17,5,394,8,84,486
Boston,17,6,677,18,163,858
Boston,17,7,353,6,55,414
Boston,17,8,541,18,133,692
Boston,17,9,478,5,145,628
Boston,17,10,723,14,172,909
Boston,17,11,281,5,78,364
Boston,17,12,538,7,113,658
Boston,17,13,680,14,227,921
Boston,17,14,735,12,203,950
Boston,18,1,"1,076",20,262,"1,358"
Boston,18,2,666,10,145,821
Boston,18,3,838,11,153,"1,002"
Boston,18,4,835,16,198,"1,049"
Boston,18,5,892,13,193,"1,098"
Boston,18,6,"1,122",21,242,"1,385"
Boston,18,7,839,15,202,"1,056"
Boston,18,8,"1,338",22,367,"1,727"
Boston,18,9,861,18,254,"1,133"
Boston,18,10,"1,237",16,380,"1,633"
Boston,18,11,663,18,168,849
Boston,18,12,854,11,258,"1,123"
Boston,18,13,537,5,111,653
Boston,18,14,510,4,146,660
Boston,18,15,823,10,180,"1,013"
Boston,18,16,903,32,292,"1,227"
Boston,18,17,861,19,220,"1,100"
Boston,18,18,"1,041",11,273,"1,325"
Boston,18,19,"1,394",24,383,"1,801"
Boston,18,20,"1,142",22,342,"1,506"
Boston,18,21,946,18,256,"1,220"
Boston,18,22,"1,005",23,335,"1,363"
Boston,18,23,658,22,141,821
Boston,19,1,781,9,240,"1,030"
Boston,19,2,913,17,371,"1,301"
Boston,19,3,483,3,164,650
Boston,19,4,"1,081",3,322,"1,406"
Boston,19,5,738,5,259,"1,002"
Boston,19,6,"1,083",10,329,"1,422"
Boston,19,7,909,15,287,"1,211"
Boston,19,8,627,6,280,913
Boston,19,9,526,5,168,699
Boston,19,10,"1,015",19,316,"1,350"
Boston,19,11,732,13,192,937
Boston,19,12,727,8,254,989
Boston,19,13,616,15,166,797
Boston,20,1,888,12,366,"1,266"
Boston,20,2,946,16,293,"1,255"
Boston,20,3,834,26,316,"1,176"
Boston,20,4,738,9,294,"1,041"
Boston,20,5,958,23,379,"1,360"
Boston,20,6,995,16,399,"1,410"
Boston,20,7,652,11,196,859
Boston,20,8,733,9,229,971
Boston,20,9,839,11,241,"1,091"
Boston,20,10,"1,133",17,418,"1,568"
Boston,20,11,525,7,201,733
Boston,20,12,642,12,273,927
Boston,20,13,611,13,213,837
Boston,20,14,571,8,235,814
Boston,20,15,990,17,394,"1,401"
Boston,20,16,"1,148",30,419,"1,597"
Boston,20,17,"1,106",27,511,"1,644"
Boston,20,18,583,10,250,843
Boston,20,19,609,9,259,877
Boston,20,20,"1,040",16,361,"1,417"
Boston,20,21,82,4,45,131
Boston,21,1,910,14,191,"1,115"
Boston,21,2,256,1,42,299
Boston,21,3,525,4,112,641
Boston,21,4,454,7,116,577
Boston,21,5,773,14,146,933
Boston,21,6,567,5,131,703
Boston,21,7,655,23,167,845
Boston,21,8,947,11,145,"1,103"
Boston,21,9,"1,111",23,223,"1,357"
Boston,21,10,750,14,181,945
Boston,21,11,913,14,176,"1,103"
Boston,21,12,729,14,222,965
Boston,21,13,894,16,442,"1,352"
Boston,21,14,579,3,106,688
Boston,21,15,700,9,129,838
Boston,21,16,824,15,274,"1,113"
Boston,22,1,972,29,259,"1,260"
Boston,22,2,"1,117",21,328,"1,466"
Boston,22,3,997,16,288,"1,301"
Boston,22,4,744,15,213,972
Boston,22,5,729,12,214,955
Boston,22,6,589,15,140,744
Boston,22,7,847,13,260,"1,120"
Boston,22,8,581,15,191,787
Boston,22,9,640,14,273,927
Boston,22,10,858,9,223,"1,090"
Boston,22,11,576,15,172,763
Boston,22,12,612,11,206,829
Boston,22,13,544,8,126,678
Chelsea,1,1,290,0,179,469
Chelsea,1,2,201,0,105,306
Chelsea,1,3,286,0,131,417
Chelsea,1,4,273,0,126,399
Chelsea,2,1,701,0,382,"1,083"
Chelsea,2,2,475,0,161,636
Chelsea,2,3,243,0,139,382
Chelsea,2,4,308,0,143,451
Chelsea,3,1,354,0,171,525
Chelsea,3,2,408,0,179,587
Chelsea,3,3,344,0,163,507
Chelsea,3,4,358,0,179,537
Chelsea,4,1,468,0,183,651
Chelsea,4,2,430,0,247,677
Chelsea,4,3,418,0,247,665
Chelsea,4,4,381,0,196,577
Revere,1,1,691,25,365,"1,081"
Revere,1,2,767,19,391,"1,177"
Revere,1,3,536,17,319,872
Revere,2,1,515,17,217,749
Revere,2,2,639,30,307,976
Revere,2,3,210,11,102,323
Revere,2,3A,60,1,33,94
Revere,3,1,520,29,361,910
Revere,3,2,555,38,380,973
Revere,3,3,573,21,344,938
Revere,4,1,706,25,437,"1,168"
Revere,4,2,529,27,368,924
Revere,4,3,649,26,461,"1,136"
Revere,5,1,546,20,384,950
Revere,5,1A,362,11,270,643
Revere,5,2,714,30,387,"1,131"
Revere,5,3,574,24,377,975
Revere,6,1,689,29,576,"1,294"
Revere,6,2,680,38,565,"1,283"
Revere,6,3,605,30,361,996
Winthrop,-,1,"1,029",23,595,"1,647"
Winthrop,-,2,"1,015",18,627,"1,660"
Winthrop,-,3,"1,073",17,498,"1,588"
Winthrop,-,4,706,16,488,"1,210"
Winthrop,-,5,"1,076",12,680,"1,768"
Winthrop,-,6,996,23,559,"1,578"
TOTALS,,,"223,614","4,435","74,277","302,326"
