City/Town,Ward,Pct,"Scott A. Cote","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Ashfield,-,1,986,2,228,"1,216"
Bernardston,-,1,"1,080",7,324,"1,411"
Buckland,-,1,911,6,226,"1,143"
Charlemont,-,1,542,0,202,744
Colrain,-,1,810,0,240,"1,050"
Conway,-,1,"1,050",4,256,"1,310"
Deerfield,-,1,"2,628",12,668,"3,308"
Erving,-,1,765,5,208,978
Gill,-,1,795,4,217,"1,016"
Greenfield,-,1,854,13,259,"1,126"
Greenfield,-,2,"1,061",15,259,"1,335"
Greenfield,-,3,946,14,236,"1,196"
Greenfield,-,4,932,16,204,"1,152"
Greenfield,-,5,938,7,242,"1,187"
Greenfield,-,6,855,7,190,"1,052"
Greenfield,-,7,710,10,197,917
Greenfield,-,8,704,20,197,921
Greenfield,-,9,536,8,148,692
Hawley,-,1,142,0,54,196
Heath,-,1,370,1,101,472
Leverett,-,1,"1,086",2,222,"1,310"
Leyden,-,1,390,0,106,496
Monroe,-,1,53,0,13,66
Montague,-,1,840,10,185,"1,035"
Montague,-,2,628,13,198,839
Montague,-,3,678,10,166,854
Montague,-,4,648,9,139,796
Montague,-,5,489,7,115,611
Montague,-,6,562,5,140,707
"New Salem",-,1,525,187,2,714
Northfield,-,1,"1,448",11,495,"1,954"
Orange,-,1,"1,396",40,523,"1,959"
Orange,-,2,"1,473",31,481,"1,985"
Rowe,-,1,186,0,79,265
Shelburne,-,1,988,5,243,"1,236"
Shutesbury,-,1,"1,031",1,232,"1,264"
Sunderland,-,1,"1,517",6,372,"1,895"
Warwick,-,1,387,0,124,511
Wendell,-,1,470,1,134,605
Whately,-,1,869,2,223,"1,094"
TOTALS,,,"33,279",491,"8,848","42,618"
