City/Town,Ward,Pct,"Kathleen Reynolds Daigneault","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Ashburnham,-,1,"1,322",53,571,"1,946"
Ashburnham,-,2,"1,372",46,529,"1,947"
Fitchburg,1,A,796,37,263,"1,096"
Fitchburg,1,B,978,24,290,"1,292"
Fitchburg,2,A,761,29,233,"1,023"
Fitchburg,2,B,"1,030",28,314,"1,372"
Fitchburg,3,A,"1,454",53,584,"2,091"
Fitchburg,3,B,"1,044",35,410,"1,489"
Fitchburg,4,A,632,17,248,897
Fitchburg,4,B,745,33,250,"1,028"
Fitchburg,5,A,"1,387",62,527,"1,976"
Fitchburg,5,B,655,23,165,843
Fitchburg,6,A,"1,281",46,439,"1,766"
Fitchburg,6,B,757,25,242,"1,024"
Leominster,1,A,"1,198",24,497,"1,719"
Leominster,1,B,"1,166",3,472,"1,641"
Leominster,1,C,941,4,344,"1,289"
Leominster,2,A,820,3,231,"1,054"
Leominster,2,B,936,6,356,"1,298"
Leominster,2,C,673,1,232,906
Leominster,3,A,"1,012",7,335,"1,354"
Leominster,3,B,"1,245",9,470,"1,724"
Leominster,3,C,"1,114",6,456,"1,576"
Leominster,4,A,"1,211",6,543,"1,760"
Leominster,4,B,"1,140",4,477,"1,621"
Leominster,4,C,965,8,342,"1,315"
Leominster,5,A,909,12,329,"1,250"
Leominster,5,B,"1,108",4,393,"1,505"
Leominster,5,C,802,3,234,"1,039"
Lunenburg,-,A,"1,299",10,504,"1,813"
Lunenburg,-,B,"1,240",12,492,"1,744"
Lunenburg,-,B1,46,1,34,81
Lunenburg,-,C,"1,183",20,522,"1,725"
Lunenburg,-,C1,11,0,2,13
Lunenburg,-,D,"1,350",14,601,"1,965"
Westminster,-,1,"1,232",19,577,"1,828"
Westminster,-,2,914,8,480,"1,402"
Westminster,-,2A,321,1,160,482
Westminster,-,3,"1,148",15,534,"1,697"
TOTALS,,,"38,198",711,"14,682","53,591"
