City/Town,Ward,Pct,"Maria C. Curtatone","William Tauro","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Framingham,-,6,918,315,4,201,"1,438"
Framingham,-,7,969,305,8,195,"1,477"
Framingham,-,8,541,166,5,98,810
Framingham,-,9A,655,252,5,149,"1,061"
Framingham,-,9B,30,14,2,7,53
Framingham,-,10,472,146,2,92,712
Framingham,-,11,603,203,3,144,953
Framingham,-,12,497,159,2,116,774
Framingham,-,13,351,88,3,86,528
Framingham,-,14,467,155,3,94,719
Framingham,-,15,492,169,5,102,768
Framingham,-,16,736,296,8,189,"1,229"
Framingham,-,17,928,271,8,191,"1,398"
Framingham,-,18,"1,021",385,3,212,"1,621"
Framingham,-,19,"1,025",353,6,194,"1,578"
Framingham,-,20,980,348,4,192,"1,524"
Framingham,-,21A,716,238,1,162,"1,117"
Framingham,-,21B,463,153,1,106,723
Framingham,-,21C,26,4,1,9,40
Framingham,-,22,"1,035",356,6,254,"1,651"
Framingham,-,23,910,368,5,232,"1,515"
Framingham,-,24,971,332,3,195,"1,501"
Framingham,-,25,982,354,2,204,"1,542"
Framingham,-,26,898,311,6,171,"1,386"
Framingham,-,27,849,296,2,190,"1,337"
Groton,-,1,"1,585",688,1,324,"2,598"
Groton,-,2,"1,420",670,3,277,"2,370"
Groton,-,3,"1,437",590,4,325,"2,356"
Holliston,-,1,"1,490",688,8,291,"2,477"
Holliston,-,2,"1,448",570,7,307,"2,332"
Holliston,-,3,"1,300",549,5,279,"2,133"
Holliston,-,4,"1,532",626,4,293,"2,455"
Hopkinton,-,1,"1,098",451,1,188,"1,738"
Hopkinton,-,2,"1,248",602,3,278,"2,131"
Hopkinton,-,3,"1,209",570,3,308,"2,090"
Hopkinton,-,4,"1,373",611,3,266,"2,253"
Hopkinton,-,5,"1,361",615,0,272,"2,248"
Hudson,-,1,"1,042",531,6,285,"1,864"
Hudson,-,2,897,510,3,216,"1,626"
Hudson,-,3,"1,071",577,2,299,"1,949"
