City/Town,Ward,Pct,"William Patrick O'Donnell","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Avon,-,1,"1,888",11,684,"2,583"
Bellingham,-,1,"1,258",40,549,"1,847"
Bellingham,-,2,"1,438",39,643,"2,120"
Bellingham,-,3,"1,547",55,636,"2,238"
Bellingham,-,4,"1,308",42,548,"1,898"
Bellingham,-,5,"1,340",43,600,"1,983"
Braintree,-,1A,"1,232",33,591,"1,856"
Braintree,-,1B,"1,061",20,581,"1,662"
Braintree,-,2A,"1,281",19,491,"1,791"
Braintree,-,2B,"1,134",33,545,"1,712"
Braintree,-,3A,"1,038",20,420,"1,478"
Braintree,-,3B,"1,098",24,473,"1,595"
Braintree,-,4A,"1,111",23,465,"1,599"
Braintree,-,4B,"1,082",20,389,"1,491"
Braintree,-,5A,"1,142",24,522,"1,688"
Braintree,-,5B,"1,206",18,570,"1,794"
Braintree,-,6A,"1,301",18,694,"2,013"
Braintree,-,6B,"1,342",12,550,"1,904"
Brookline,-,1,"1,116",10,342,"1,468"
Brookline,-,2,781,10,220,"1,011"
Brookline,-,3,"1,251",10,416,"1,677"
Brookline,-,4,"1,056",15,312,"1,383"
Brookline,-,5,655,4,220,879
Brookline,-,5A,597,8,239,844
Brookline,-,6,"1,369",9,405,"1,783"
Brookline,-,7,"1,195",7,374,"1,576"
Brookline,-,8,"1,293",8,356,"1,657"
Brookline,-,9,"1,327",10,398,"1,735"
Brookline,-,10,"1,335",16,376,"1,727"
Brookline,-,11,"1,389",15,423,"1,827"
Brookline,-,12,"1,402",11,479,"1,892"
Brookline,-,13,"1,191",9,390,"1,590"
Brookline,-,13A,228,2,57,287
Brookline,-,14,"1,075",12,509,"1,596"
Brookline,-,14A,279,4,135,418
Brookline,-,15,"1,363",14,551,"1,928"
Brookline,-,16,"1,285",14,509,"1,808"
Brookline,-,17,"1,147",8,345,"1,500"
Canton,-,1,"1,371",9,482,"1,862"
Canton,-,2,"1,731",16,617,"2,364"
Canton,-,3,"1,194",4,456,"1,654"
Canton,-,4,"1,468",5,610,"2,083"
Canton,-,5,"1,512",5,612,"2,129"
Canton,-,6,"1,448",11,507,"1,966"
Canton,-,7,"1,567",9,564,"2,140"
Cohasset,-,1,"1,240",8,501,"1,749"
Cohasset,-,2,"1,332",19,514,"1,865"
Cohasset,-,3,"1,309",8,500,"1,817"
Dedham,-,1,"1,437",8,672,"2,117"
Dedham,-,2,"1,604",16,699,"2,319"
Dedham,-,3,"1,344",22,485,"1,851"
Dedham,-,4,"1,389",12,660,"2,061"
Dedham,-,5,"1,534",16,719,"2,269"
Dedham,-,6,"1,482",21,652,"2,155"
Dedham,-,7,"1,549",22,836,"2,407"
Dover,-,1,"2,542",50,"1,202","3,794"
Foxborough,-,1,"1,335",8,576,"1,919"
Foxborough,-,2,"1,745",11,809,"2,565"
Foxborough,-,3,"1,435",13,658,"2,106"
Foxborough,-,4,"1,621",0,745,"2,366"
Foxborough,-,5,"1,582",8,666,"2,256"
Franklin,-,1,"1,495",43,661,"2,199"
Franklin,-,2,"1,228",29,605,"1,862"
Franklin,-,3,"1,586",52,609,"2,247"
Franklin,-,4,"1,608",38,775,"2,421"
Franklin,-,5,"1,621",38,624,"2,283"
Franklin,-,6,"1,563",28,660,"2,251"
Franklin,-,7,"1,749",36,705,"2,490"
Franklin,-,8,"1,649",50,798,"2,497"
Franklin,-,9,"1,291",37,492,"1,820"
Holbrook,-,1,"1,077",14,379,"1,470"
Holbrook,-,2,"1,062",18,480,"1,560"
Holbrook,-,3,"1,062",22,429,"1,513"
Holbrook,-,4,"1,036",32,393,"1,461"
Medfield,-,1,"1,591",27,549,"2,167"
Medfield,-,2,"1,464",18,503,"1,985"
Medfield,-,3,"1,464",26,527,"2,017"
Medfield,-,4,"1,417",23,524,"1,964"
Medway,-,1,"1,421",9,546,"1,976"
Medway,-,2,"1,606",18,614,"2,238"
Medway,-,3,"1,576",20,595,"2,191"
Medway,-,4,"1,523",9,598,"2,130"
Millis,-,1,"1,320",23,451,"1,794"
Millis,-,2,"1,301",20,538,"1,859"
Millis,-,3,"1,715",29,668,"2,412"
Milton,-,1,"1,269",7,372,"1,648"
Milton,-,2,"1,242",7,565,"1,814"
Milton,-,3,"1,249",10,554,"1,813"
