City/Town,Ward,Pct,"Kathryn A. Toomey","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Athol,-,1,"1,494",41,545,"2,080"
Athol,-,2,"1,349",10,507,"1,866"
Athol,-,3,"1,335",4,444,"1,783"
Auburn,-,1,"1,482",11,502,"1,995"
Auburn,-,2,"1,501",19,490,"2,010"
Auburn,-,3,"1,581",4,561,"2,146"
Auburn,-,4,"1,494",28,518,"2,040"
Auburn,-,5,"1,373",12,497,"1,882"
Barre,-,1,"1,072",15,484,"1,571"
Barre,-,2,"1,102",7,445,"1,554"
Berlin,-,1,"1,675",12,742,"2,429"
Blackstone,-,1,"1,068",6,500,"1,574"
Blackstone,-,2,"1,160",4,542,"1,706"
Blackstone,-,3,"1,203",13,658,"1,874"
Bolton,-,1,"2,617",68,"1,021","3,706"
Boylston,-,1,"2,398",41,948,"3,387"
Brookfield,-,1,"1,486",37,584,"2,107"
Charlton,-,1,"1,373",17,594,"1,984"
Charlton,-,2,"1,441",11,687,"2,139"
Charlton,-,3,"1,441",18,647,"2,106"
Charlton,-,4,"1,378",16,618,"2,012"
Charlton,-,4A,41,0,14,55
Clinton,-,1,"1,554",62,492,"2,108"
Clinton,-,2,"1,219",40,345,"1,604"
Clinton,-,3,"1,514",43,450,"2,007"
Clinton,-,4,"1,293",50,504,"1,847"
Douglas,-,1,"1,240",0,687,"1,927"
Douglas,-,2,"1,359",0,675,"2,034"
Douglas,-,3,"1,337",0,575,"1,912"
Dudley,-,1,"1,336",16,506,"1,858"
Dudley,-,2,"1,052",15,408,"1,475"
Dudley,-,3,929,7,392,"1,328"
Dudley,-,4,"1,262",12,470,"1,744"
"E. Brookfield",-,1,"1,009",0,354,"1,363"
Gardner,1,A,805,5,305,"1,115"
Gardner,1,B,467,6,189,662
Gardner,2,A,739,6,293,"1,038"
Gardner,2,B,825,4,324,"1,153"
Gardner,3,A,614,9,253,876
Gardner,3,B,779,3,271,"1,053"
Gardner,4,A,643,4,245,892
Gardner,4,B,552,2,199,753
Gardner,5,A,572,10,232,814
Gardner,5,B,796,9,328,"1,133"
Grafton,-,1,"1,644",24,541,"2,209"
Grafton,-,2,"1,744",14,587,"2,345"
Grafton,-,3,"1,667",16,560,"2,243"
Grafton,-,4,"1,491",15,493,"1,999"
Grafton,-,5,"1,848",6,639,"2,493"
Hardwick,-,1,"1,073",17,494,"1,584"
Harvard,-,1,"3,002",49,"1,003","4,054"
Holden,-,1,"1,456",0,625,"2,081"
Holden,-,2,"1,400",0,578,"1,978"
Holden,-,3,"1,590",0,560,"2,150"
Holden,-,4,"1,661",0,540,"2,201"
Holden,-,5,"1,569",0,537,"2,106"
Holden,-,6,"1,584",0,541,"2,125"
Hopedale,-,1,"2,536",49,"1,031","3,616"
Hubbardston,-,1,"1,967",57,953,"2,977"
Lancaster,-,1,"1,255",11,631,"1,897"
Lancaster,-,2,"1,566",12,800,"2,378"
Leicester,-,1,"1,137",28,491,"1,656"
Leicester,-,2,"1,075",45,434,"1,554"
Leicester,-,3,"1,110",41,466,"1,617"
Leicester,-,4,"1,046",27,448,"1,521"
Mendon,-,1,"1,178",18,720,"1,916"
Mendon,-,2,"1,266",10,816,"2,092"
Milford,-,1,730,16,316,"1,062"
Milford,-,2,"1,218",28,545,"1,791"
Milford,-,3,"1,077",28,519,"1,624"
Milford,-,4,776,25,338,"1,139"
Milford,-,5,"1,484",52,705,"2,241"
Milford,-,6,"1,286",25,512,"1,823"
Milford,-,7,"1,559",57,725,"2,341"
Milford,-,8,"1,388",38,586,"2,012"
Millbury,-,1,"1,421",10,517,"1,948"
Millbury,-,2,"1,567",8,634,"2,209"
Millbury,-,3,"1,525",8,550,"2,083"
Millbury,-,4,"1,414",11,493,"1,918"
