City/Town,Ward,Pct,"Jonathan W. Blodgett","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Amesbury,-,1,"1,095",7,379,"1,481"
Amesbury,-,2,"1,002",7,293,"1,302"
Amesbury,-,3,"1,040",3,311,"1,354"
Amesbury,-,4,804,9,265,"1,078"
Amesbury,-,5,"1,013",15,401,"1,429"
Amesbury,-,6,901,7,274,"1,182"
Andover,-,1,"1,179",9,327,"1,515"
Andover,-,2,"1,378",17,550,"1,945"
Andover,-,3,"1,438",15,444,"1,897"
Andover,-,4,"1,313",25,526,"1,864"
Andover,-,5,"1,396",27,522,"1,945"
Andover,-,6,"1,267",26,523,"1,816"
Andover,-,7,"1,033",12,419,"1,464"
Andover,-,7A,279,3,94,376
Andover,-,8,"1,299",39,504,"1,842"
Andover,-,9,"1,321",21,527,"1,869"
Beverly,1,1,"1,082",2,368,"1,452"
Beverly,1,2,"1,256",0,393,"1,649"
Beverly,2,1,"1,228",0,262,"1,490"
Beverly,2,2,"1,346",0,354,"1,700"
Beverly,3,1,"1,016",1,228,"1,245"
Beverly,3,2,"1,119",0,315,"1,434"
Beverly,4,1,827,0,239,"1,066"
Beverly,4,2,"1,604",1,389,"1,994"
Beverly,5,1,"1,240",1,376,"1,617"
Beverly,5,2,"1,231",2,408,"1,641"
Beverly,6,1,"1,346",1,458,"1,805"
Beverly,6,2,"1,425",2,453,"1,880"
Boxford,-,1,971,18,428,"1,417"
Boxford,-,2,"1,074",25,498,"1,597"
Boxford,-,3,959,18,479,"1,456"
Danvers,-,1,"1,270",22,340,"1,632"
Danvers,-,2,"1,220",26,382,"1,628"
Danvers,-,3,994,28,334,"1,356"
Danvers,-,4,"1,188",15,429,"1,632"
Danvers,-,5,"1,202",32,418,"1,652"
Danvers,-,6,"1,243",22,473,"1,738"
Danvers,-,7,"1,198",19,420,"1,637"
Danvers,-,8,"1,032",28,369,"1,429"
Essex,-,1,"1,561",6,475,"2,042"
Georgetown,-,1,"1,060",11,477,"1,548"
Georgetown,-,2,958,9,405,"1,372"
Georgetown,-,3,945,5,341,"1,291"
Gloucester,1,1,"1,249",17,393,"1,659"
Gloucester,1,2,"1,000",9,298,"1,307"
Gloucester,2,1,779,14,166,959
Gloucester,2,2,797,13,179,989
Gloucester,3,1,900,16,220,"1,136"
Gloucester,3,2,982,15,247,"1,244"
Gloucester,4,1,"1,080",13,336,"1,429"
Gloucester,4,2,"1,443",17,347,"1,807"
Gloucester,5,1,"1,266",23,432,"1,721"
Gloucester,5,2,"1,218",21,412,"1,651"
Groveland,-,1,"1,208",32,483,"1,723"
Groveland,-,2,"1,210",37,522,"1,769"
Hamilton,-,1,"1,144",21,372,"1,537"
Hamilton,-,2,"1,097",16,363,"1,476"
Hamilton,-,3,835,13,258,"1,106"
Haverhill,1,1,504,11,126,641
Haverhill,1,2,799,29,192,"1,020"
Haverhill,1,3,640,18,196,854
Haverhill,2,1,748,1,214,963
Haverhill,2,2,749,11,308,"1,068"
Haverhill,2,3,516,11,122,649
Haverhill,3,1,451,7,59,517
Haverhill,3,2,606,9,142,757
Haverhill,3,3,643,18,190,851
Haverhill,4,1,837,16,431,"1,284"
Haverhill,4,2,"1,010",0,537,"1,547"
Haverhill,4,3,936,16,382,"1,334"
Haverhill,5,1,909,15,326,"1,250"
Haverhill,5,2,966,26,413,"1,405"
Haverhill,5,3,"1,056",39,505,"1,600"
Haverhill,6,1,798,19,265,"1,082"
Haverhill,6,2,786,23,347,"1,156"
Haverhill,6,3,969,31,351,"1,351"
Haverhill,7,1,919,12,412,"1,343"
Haverhill,7,2,826,28,286,"1,140"
Haverhill,7,3,"1,031",29,444,"1,504"
Ipswich,-,1,"1,430",0,463,"1,893"
Ipswich,-,2,"1,541",0,550,"2,091"
Ipswich,-,3,"1,323",0,545,"1,868"
Ipswich,-,4,"1,442",0,524,"1,966"
Lawrence,A,1,625,12,81,718
Lawrence,A,2,409,4,68,481
Lawrence,A,3,558,14,82,654
Lawrence,A,4,583,11,60,654
Lawrence,B,1,617,5,113,735
Lawrence,B,2,441,10,58,509
Lawrence,B,3,491,5,84,580
Lawrence,B,4,643,16,143,802
Lawrence,C,1,432,7,54,493
Lawrence,C,2,657,18,114,789
Lawrence,C,3,419,5,53,477
Lawrence,C,4,531,6,93,630
Lawrence,D,1,563,9,107,679
Lawrence,D,2,496,14,58,568
Lawrence,D,3,393,9,71,473
Lawrence,D,4,389,7,60,456
Lawrence,E,1,874,18,217,"1,109"
Lawrence,E,2,813,23,181,"1,017"
Lawrence,E,3,493,15,76,584
Lawrence,E,4,568,13,90,671
Lawrence,F,1,690,16,160,866
Lawrence,F,2,462,4,56,522
Lawrence,F,3,457,8,74,539
Lawrence,F,4,470,7,66,543
Lynn,1,1,"1,108",23,438,"1,569"
Lynn,1,2,"1,197",21,430,"1,648"
Lynn,1,3,"1,037",26,266,"1,329"
Lynn,1,4,953,27,249,"1,229"
Lynn,2,1,"1,187",27,346,"1,560"
Lynn,2,2,693,12,133,838
Lynn,2,3,493,9,81,583
Lynn,2,4,482,5,66,553
Lynn,3,1,834,10,206,"1,050"
Lynn,3,2,696,15,141,852
Lynn,3,3,752,30,152,934
Lynn,3,4,856,27,169,"1,052"
Lynn,4,1,312,6,36,354
Lynn,4,2,414,8,49,471
Lynn,4,3,572,13,101,686
Lynn,4,4,724,20,174,918
Lynn,5,1,766,9,160,935
Lynn,5,2,328,4,39,371
Lynn,5,3,406,5,73,484
Lynn,5,4,764,19,217,"1,000"
Lynn,6,1,527,9,108,644
Lynn,6,2,332,18,63,413
Lynn,6,3,489,20,121,630
Lynn,6,4,426,7,88,521
Lynn,7,1,"1,038",31,270,"1,339"
Lynn,7,2,906,24,214,"1,144"
Lynn,7,3,578,13,151,742
Lynn,7,4,668,17,171,856
Lynnfield,-,1,"1,061",0,571,"1,632"
Lynnfield,-,2,"1,122",0,520,"1,642"
Lynnfield,-,3,980,0,459,"1,439"
Lynnfield,-,4,"1,082",0,626,"1,708"
Manchester-by-the-Sea,-,1,"2,361",13,802,"3,176"
Marblehead,-,1,"1,487",8,517,"2,012"
Marblehead,-,2,"1,550",5,450,"2,005"
Marblehead,-,3,"1,360",4,416,"1,780"
Marblehead,-,4,"1,457",5,501,"1,963"
Marblehead,-,5,"1,455",4,457,"1,916"
Marblehead,-,6,"1,457",3,485,"1,945"
Merrimac,-,1,"1,236",16,461,"1,713"
Merrimac,-,2,"1,218",14,483,"1,715"
Methuen,-,1,"1,110",30,340,"1,480"
Methuen,-,2,614,9,93,716
Methuen,-,3,"1,025",21,326,"1,372"
Methuen,-,4,"1,069",22,307,"1,398"
Methuen,-,5,906,20,248,"1,174"
Methuen,-,6,"1,088",19,299,"1,406"
Methuen,-,7,"1,142",27,421,"1,590"
Methuen,-,8,"1,361",46,639,"2,046"
Methuen,-,9,"1,146",28,494,"1,668"
Methuen,-,10,"1,079",24,344,"1,447"
Methuen,-,11,"1,315",41,565,"1,921"
Methuen,-,12,"1,108",33,458,"1,599"
Middleton,-,1,"1,428",0,676,"2,104"
Middleton,-,2,"1,450",0,753,"2,203"
Nahant,-,1,"1,590",13,498,"2,101"
Newbury,-,1,"1,465",22,576,"2,063"
Newbury,-,2,"1,490",25,566,"2,081"
Newburyport,1,1,"1,029",0,335,"1,364"
Newburyport,2,1,"1,426",0,305,"1,731"
Newburyport,3,1,"1,287",0,396,"1,683"
Newburyport,4,1,"1,460",0,477,"1,937"
Newburyport,5,1,"1,071",0,447,"1,518"
