City/Town,Ward,Pct,"Joseph D. Early, Jr.","Blake J. Rubin","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Ashburnham,-,1,"1,735",924,5,185,"2,849"
Auburn,-,1,"1,064",483,3,85,"1,635"
Auburn,-,2,"1,099",439,0,69,"1,607"
Auburn,-,3,"1,113",440,3,79,"1,635"
Auburn,-,4,"1,007",389,6,49,"1,451"
Auburn,-,5,947,386,1,82,"1,416"
Barre,-,1,754,390,2,60,"1,206"
Barre,-,2,602,411,1,55,"1,069"
Berlin,-,1,"1,177",470,3,110,"1,760"
Blackstone,-,1,668,343,1,73,"1,085"
Blackstone,-,2,793,408,0,87,"1,288"
Blackstone,-,3,735,395,0,94,"1,224"
Bolton,-,1,"1,934",760,9,249,"2,952"
Boylston,-,1,"1,592",730,0,171,"2,493"
Brookfield,-,1,867,561,3,100,"1,531"
Charlton,-,1,765,517,2,124,"1,408"
Charlton,-,2,785,656,3,91,"1,535"
Charlton,-,3,835,570,2,89,"1,496"
Charlton,-,4,752,536,5,109,"1,402"
Clinton,-,1,"1,047",385,4,95,"1,531"
Clinton,-,2,945,350,1,67,"1,363"
Clinton,-,3,908,386,4,95,"1,393"
Clinton,-,4,907,325,5,77,"1,314"
Douglas,-,1,713,567,0,116,"1,396"
Douglas,-,2,783,492,0,98,"1,373"
Douglas,-,3,631,483,0,88,"1,202"
Dudley,-,1,"1,013",583,2,101,"1,699"
Dudley,-,2,747,517,1,97,"1,362"
Dudley,-,3,696,461,3,93,"1,253"
"E. Brookfield",-,1,623,345,1,64,"1,033"
Fitchburg,1,A,544,172,1,38,755
Fitchburg,1,B,716,211,1,58,986
Fitchburg,2,A,511,121,1,41,674
Fitchburg,2,B,774,276,0,79,"1,129"
Fitchburg,3,A,"1,055",413,0,110,"1,578"
Fitchburg,3,B,793,310,1,65,"1,169"
Fitchburg,4,A,341,130,0,37,508
Fitchburg,4,B,538,164,0,42,744
Fitchburg,5,A,946,413,0,112,"1,471"
