City/Town,Ward,Pct,"Anthony D. Gulluni","All Others",Blanks,"Total Votes Cast"
Springfield,1,H,376,7,44,427
Springfield,2,A,360,10,45,415
Springfield,2,B,719,17,101,837
Springfield,2,C,417,7,43,467
Springfield,2,D,589,8,91,688
Springfield,2,E,603,11,91,705
Springfield,2,F,584,8,80,672
Springfield,2,G,706,15,116,837
Springfield,2,H,587,14,93,694
Springfield,3,A,311,6,34,351
Springfield,3,B,290,2,40,332
Springfield,3,C,220,2,35,257
Springfield,3,D,309,4,35,348
Springfield,3,E,258,4,33,295
Springfield,3,F,281,5,45,331
Springfield,3,G,221,8,29,258
Springfield,3,H,339,2,43,384
Springfield,4,A,516,13,53,582
Springfield,4,B,447,12,52,511
Springfield,4,C,346,3,36,385
Springfield,4,D,357,3,43,403
Springfield,4,E,319,2,28,349
Springfield,4,F,146,1,21,168
Springfield,4,G,506,10,62,578
Springfield,4,H,424,3,44,471
Springfield,5,A,476,5,57,538
Springfield,5,B,612,15,82,709
Springfield,5,C,498,12,66,576
Springfield,5,D,740,14,160,914
Springfield,5,E,718,8,82,808
Springfield,5,F,697,7,137,841
Springfield,5,G,833,19,161,"1,013"
Springfield,5,H,638,22,116,776
Springfield,6,A,440,9,57,506
Springfield,6,B,659,13,121,793
Springfield,6,C,544,13,79,636
Springfield,6,D,809,21,130,960
Springfield,6,E,373,5,51,429
Springfield,6,F,457,13,53,523
Springfield,6,G,521,10,76,607
Springfield,6,H,766,7,80,853
Springfield,7,A,710,13,130,853
Springfield,7,B,980,12,117,"1,109"
Springfield,7,C,879,16,152,"1,047"
Springfield,7,D,735,17,167,919
Springfield,7,E,511,12,84,607
Springfield,7,F,844,19,160,"1,023"
Springfield,7,G,892,23,187,"1,102"
Springfield,7,H,418,7,70,495
Springfield,8,A,542,13,99,654
Springfield,8,B,550,11,91,652
Springfield,8,C,548,12,75,635
Springfield,8,D,320,3,56,379
Springfield,8,E,335,10,56,401
Springfield,8,F,566,5,95,666
Springfield,8,G,608,17,117,742
Springfield,8,H,528,7,62,597
Tolland,-,1,164,1,96,261
Wales,-,1,542,9,257,808
"W. Springfield",-,1,406,0,99,505
"W. Springfield",-,2,582,2,129,713
"W. Springfield",-,3,813,3,251,"1,067"
"W. Springfield",-,4,958,3,285,"1,246"
"W. Springfield",-,5,"1,340",4,439,"1,783"
"W. Springfield",-,6,"1,182",6,413,"1,601"
"W. Springfield",-,7,"1,208",5,492,"1,705"
"W. Springfield",-,8,744,2,241,987
Westfield,1,A,"1,129",5,466,"1,600"
Westfield,1,B,"1,039",2,370,"1,411"
Westfield,2,A,542,2,164,708
Westfield,2,B,798,0,254,"1,052"
Westfield,3,A,550,4,154,708
Westfield,3,B,975,5,292,"1,272"
Westfield,4,A,455,4,151,610
Westfield,4,B,"1,301",8,484,"1,793"
Westfield,5,A,"1,246",10,445,"1,701"
Westfield,5,B,"1,196",23,422,"1,641"
Westfield,6,A,"1,030",8,407,"1,445"
Westfield,6,B,843,7,295,"1,145"
Wilbraham,-,A,"1,365",2,411,"1,778"
Wilbraham,-,B,"1,388",6,339,"1,733"
Wilbraham,-,C,"1,306",6,401,"1,713"
Wilbraham,-,D,"1,516",6,361,"1,883"
TOTALS,,,"124,551","1,974","32,649","159,174"
