City/Town,Ward,Pct,"Michael W. Morrissey","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Wellesley,-,B,"1,499",17,474,"1,990"
Wellesley,-,C,"1,154",6,663,"1,823"
Wellesley,-,D,"1,462",18,535,"2,015"
Wellesley,-,E,"1,212",11,445,"1,668"
Wellesley,-,F,831,7,290,"1,128"
Wellesley,-,G,749,1,219,969
Wellesley,-,H,"1,216",10,541,"1,767"
Westwood,-,1,"1,514",7,587,"2,108"
Westwood,-,2,"1,496",9,640,"2,145"
Westwood,-,3,"1,400",2,702,"2,104"
Westwood,-,4,"1,273",9,652,"1,934"
Weymouth,-,1,"1,008",17,302,"1,327"
Weymouth,-,2,"1,122",18,408,"1,548"
Weymouth,-,3,"1,154",19,377,"1,550"
Weymouth,-,4,"1,057",13,337,"1,407"
Weymouth,-,5,854,7,239,"1,100"
Weymouth,-,6,"1,187",7,328,"1,522"
Weymouth,-,7,963,12,299,"1,274"
Weymouth,-,8,"1,069",13,322,"1,404"
Weymouth,-,9,"1,120",17,401,"1,538"
Weymouth,-,10,763,9,219,991
Weymouth,-,11,989,16,339,"1,344"
Weymouth,-,12,"1,093",12,368,"1,473"
Weymouth,-,13,723,10,229,962
Weymouth,-,14,906,14,239,"1,159"
Weymouth,-,15,"1,128",11,379,"1,518"
Weymouth,-,16,"1,208",29,413,"1,650"
Weymouth,-,17,820,16,248,"1,084"
Weymouth,-,18,"1,453",30,547,"2,030"
Wrentham,-,1,"1,251",33,498,"1,782"
Wrentham,-,2,"1,275",57,604,"1,936"
Wrentham,-,3,"1,355",36,482,"1,873"
TOTALS,,,"231,828","2,869","77,455","312,152"
