City/Town,Ward,Pct,"Thomas M. Quinn, III","All Others",Blanks,"Total Votes Cast"
Taunton,5,A,682,11,208,901
Taunton,5,B,661,16,192,869
Taunton,6,A,539,9,174,722
Taunton,6,B,825,17,278,"1,120"
Taunton,7,A,970,13,405,"1,388"
Taunton,7,B,950,23,488,"1,461"
Taunton,8,A,950,8,444,"1,402"
Taunton,8,B,"1,086",21,456,"1,563"
Westport,-,A,950,0,370,"1,320"
Westport,-,B,"1,293",0,494,"1,787"
Westport,-,C,891,0,318,"1,209"
Westport,-,D,946,0,291,"1,237"
Westport,-,E,"1,245",0,463,"1,708"
TOTALS,,,"141,218","1,748","50,143","193,109"
